id,HC-1,HC-2,HC-3,HT-1,HT-2,HT-3
ALCAM,2988,3281,3200,3448,3784,3658
ALDH16A1,1162,1386,1341,1198,1255,1087
ALDH18A1,7750,8642,8948,9881,10704,10312
ALDH1A1,0,0,1,0,0,0
ALDH1A2,1,1,0,0,0,0
ALDH1A3,539,543,578,596,657,599
ALDH1B1,2439,2834,2643,2224,2565,2312
ALDH1L1,1,0,4,0,0,0
ALDH1L2,5772,6114,6194,3483,3907,3756
ALDH2,84,55,87,80,107,102
ALDH3A1,108,95,112,221,239,266
ALDH3A2,3908,4129,4069,5245,6124,5319
ALDH3B1,3698,3918,4234,2946,3250,3031
ALDH3B2,0,0,0,0,2,0
ALDH4A1,277,334,349,385,400,386
ALDH5A1,1175,1368,1354,1127,1371,1176
ALDH6A1,1397,1623,1447,1505,1555,1538
ALDH7A1,3858,4192,4131,3508,3903,3740
ALDH8A1,5,22,21,18,28,19
ALDH9A1,2137,2409,2439,2372,2663,2546
ALDOA,273,287,288,426,418,461
ALDOB,0,3,9,1,3,0
ALDOC,3353,3469,3926,7716,7842,7862
ALG1,630,688,728,618,636,602
ALG10,1859,2004,1929,1602,1832,1790
ALG10B,2039,2039,2121,1676,1701,1864
ALG11,342,374,322,350,329,383
ALG12,764,798,771,1073,1082,1210
ALG13,2081,2063,2016,1899,2056,1982
ALG14,619,602,676,458,489,496
ALG1L2,13,30,16,12,14,10
ALG2,1663,1770,1829,1962,2070,2095
ALG3,2142,2328,2210,3043,3266,3026
ALG5,907,907,986,881,1113,926
ALG6,691,801,718,604,740,634
ALG8,1986,2116,2122,1356,1559,1338
ALG9,2827,2899,2791,2027,2487,2162
ALK,2,8,0,3,2,1
ALKAL1,0,0,0,0,0,0
ALKAL2,52,51,45,56,55,60
ALKBH1,517,573,584,599,825,700
ALKBH2,450,524,483,460,465,423
ALKBH3,293,367,373,363,420,368
ALKBH4,115,192,187,233,181,188
ALKBH5,4808,5375,5350,6963,7355,6895
ALKBH6,181,205,219,284,355,291
ALKBH7,467,713,599,634,746,759
ALKBH8,993,1038,979,793,955,885
ALLC,0,2,2,0,1,1
ALMS1,4249,4265,4537,4389,4968,4603
ALOX12,1081,1041,925,1165,1250,1257
ALOX12B,405,329,292,390,428,411
ALOX15,1,0,0,0,1,1
ALOX15B,13,26,33,81,69,90
ALOX5,13,3,20,16,26,14
ALOX5AP,53,52,49,14,22,20
ALOXE3,119,153,118,136,127,103
ALPG,27,19,22,48,59,20
ALPI,66265,71110,74827,53096,54836,55052
ALPK1,675,748,774,843,959,958
ALPK2,149,188,167,141,170,141
ALPK3,25,27,35,39,46,32
ALPL,2,1,0,4,2,2
ALPP,5058,5414,5319,5940,6224,5759
ALS2,1278,1294,1287,1393,1472,1530
ALS2CL,2187,2090,2041,2020,2144,2078
ALX1,147,119,116,125,112,121
ALX3,361,311,351,312,321,365
ALX4,87,100,92,115,102,101
ALYREF,1129,1182,1195,1262,1400,1338
AMACR,400,399,448,290,291,281
AMBN,0,0,0,0,0,0
AMBP,3,5,8,1,16,6
AMBRA1,2270,2607,2440,2403,2854,2683
AMD1,3872,3872,4155,3271,3734,3387
AMDHD1,11,9,13,14,16,2
AMDHD2,610,610,609,511,519,566
AMELX,1,5,0,2,0,1
AMELY,0,0,0,0,0,0
AMER1,920,1150,1061,844,856,773
AMER2,0,0,0,0,0,0
AMER3,0,0,0,0,0,0
AMFR,1878,2004,1974,1965,2326,2357
AMH,315,271,273,287,355,348
AMHR2,31,54,34,50,84,63
AMIGO1,364,436,430,308,359,265
AMIGO2,112,120,127,64,82,101
AMIGO3,165,197,220,194,232,228
AMMECR1,1051,1108,1112,1070,1034,1034
AMMECR1L,1488,1585,1517,1504,1577,1429
AMN,242,206,175,145,145,172
AMN1,119,122,157,213,247,199
AMOT,0,0,0,0,0,0
AMOTL1,7083,7325,7746,8728,9800,9415
AMOTL2,1464,1652,1853,1512,1676,1575
AMPD1,0,1,2,0,0,0
AMPD2,4453,4890,5253,5545,6020,5706
AMPD3,294,310,339,537,510,499
AMPH,0,0,0,0,0,0
AMT,373,344,263,306,348,320
AMTN,0,1,3,2,3,6
AMY1A,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0
AMY2A,0,0,0,0,0,0
AMY2B,50,60,54,57,70,60
AMZ1,1017,1005,920,1162,1167,1064
AMZ2,1972,2092,2059,1820,2062,1841
ANAPC1,8557,9712,9561,8000,9204,8660
ANAPC10,567,516,469,472,589,466
ANAPC11,662,760,755,964,995,1105
ANAPC13,935,1048,1086,865,1009,1038
ANAPC15,365,354,337,280,354,282
ANAPC16,1661,1784,1827,1626,1761,1721
ANAPC2,816,810,857,829,854,834
ANAPC4,962,971,922,788,934,884
ANAPC5,7540,8063,8287,7526,8271,7710
ANAPC7,4168,4343,4366,4206,4876,4420
ANG,360,368,356,640,683,672
ANGEL1,1472,1598,1588,1410,1451,1342
ANGEL2,1334,1524,1414,877,1030,851
ANGPT1,18,20,26,7,8,3
ANGPT2,132,159,117,157,138,164
ANGPT4,1,1,3,0,1,1
ANGPTL1,117,98,88,102,150,100
ANGPTL2,78,87,86,101,118,94
ANGPTL3,56,48,39,54,63,44
ANGPTL4,25,13,21,9,10,12
ANGPTL5,23,13,10,13,24,16
ANGPTL6,7,6,14,7,11,17
ANGPTL7,104,124,88,156,196,186
ANGPTL8,16,26,15,29,30,30
ANHX,0,0,0,1,0,0
ANK1,287,274,314,237,241,285
ANK2,701,699,778,688,785,701
ANK3,34,30,43,48,102,83
ANKAR,139,129,153,95,74,104
ANKDD1A,66,60,55,29,23,26
ANKDD1B,10,11,5,14,13,10
ANKEF1,700,758,657,511,576,518
ANKFN1,2,1,2,1,3,8
ANKFY1,5580,5862,5895,4972,5472,5058
ANKH,3346,3602,3650,2828,3196,3115
ANKHD1,159,149,170,182,182,140
ANKHD1-EIF4EBP3,13,9,14,2,10,3
ANKIB1,3179,3416,3472,3282,3506,3258
ANKK1,0,0,2,1,0,2
ANKLE1,27,35,49,58,75,67
